,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
454,United States of America,Data Analyst,"125,000-149,999","Python, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
457,United States of America,Data Analyst,"125,000-149,999","Python, R, SQL, MATLAB","RStudio ,PyCharm ,MATLAB ","Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",middle
461,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"20,000-24,999","Python, SQL","RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
467,India,Data Analyst,"1,000-1,999","Python, R, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
477,India,Data Analyst,"3,000-3,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Woman,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
509,Turkey,Data Analyst,0-999,"Python, SQL, MATLAB"," Spyder, Other"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
521,China,Data Analyst,"25,000-29,999",Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Advanced statistical software (SPSS, SAS, etc.)",middle
533,India,Data Analyst,"4,000-4,999","Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Build prototypes to explore applying machine learning to new areas,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
541,United States of America,Data Analyst,unknown,"Python, R, SQL", Notepad++, None,None of these activities are an important part of my role at work,Man,unknown,younger
564,Pakistan,Data Analyst,"15,000-19,999","Python, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
574,Other,Data Analyst,0-999,"Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
578,Ukraine,Data Analyst,unknown,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,MATLAB ", None,unknown,Man,unknown,younger
587,Kenya,Data Analyst,unknown,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ",unknown,unknown,Man,unknown,middle
606,Islamic Republic of Iran,Data Analyst,0-999,"Python, SQL, Java, Javascript","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Advanced statistical software (SPSS, SAS, etc.)",middle
612,United States of America,Data Analyst,unknown,"Python, SQL, Javascript, Bash"," Notepad++, Vim / Emacs", None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,middle
619,Other,Data Analyst,"60,000-69,999"," C, C++, MATLAB", None, None,Analyze and understand data to influence product or business decisions,Woman,unknown,middle
624,China,Data Analyst,0-999,"Python, Java",PyCharm , Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,unknown,younger
629,South Korea,Data Analyst,unknown,"Python, R","RStudio ,Visual Studio ,PyCharm ,Jupyter Notebook",unknown,unknown,Man,unknown,younger
632,Other,Data Analyst,unknown,Python,"PyCharm , Spyder,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Geoplotlib ",unknown,Man,unknown,middle
638,Russia,Data Analyst,"15,000-19,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm "," Matplotlib ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Man,unknown,middle
652,Peru,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
665,United States of America,Data Analyst,"100,000-124,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++, Vim / Emacs,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
675,Egypt,Data Analyst,"20,000-24,999","Python, R, SQL, Other","RStudio ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
709,Other,Data Analyst,0-999,"Python, C++, Java, MATLAB","Visual Studio ,PyCharm ,MATLAB "," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ",Experimentation and iteration to improve existing ML models,Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
710,Belgium,Data Analyst,"2,000-2,999","Python, R, SQL, Other","RStudio ,Visual Studio , Notepad++",Ggplot / ggplot2 ,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
723,India,Data Analyst,"10,000-14,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Woman,unknown,younger
727,Indonesia,Data Analyst,unknown, R,Visual Studio , Other,unknown,Woman,unknown,younger
730,Germany,Data Analyst,"30,000-39,999"," R, SQL","RStudio ,Visual Studio ","Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
754,France,Data Analyst,"25,000-29,999","Python, R, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Altair ,Bokeh ,Geoplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
755,China,Data Analyst,0-999,Python,"PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
756,South Korea,Data Analyst,"30,000-39,999","Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
763,Nigeria,Data Analyst,0-999," R, SQL",RStudio ,Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
772,Other,Data Analyst,"7,500-9,999", None, None, None,Analyze and understand data to influence product or business decisions,Woman,Other,middle
784,Russia,Data Analyst,"20,000-24,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
804,India,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++, Sublime Text,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
823,Greece,Data Analyst,"15,000-19,999","Python, SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
826,China,Data Analyst,unknown,Python,PyCharm , None,unknown,Man,unknown,younger
830,Brazil,Data Analyst,0-999,"Python, C",Visual Studio ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
846,Egypt,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
881,India,Data Analyst,unknown,Python,"PyCharm ,Jupyter Notebook",Shiny ,Build and/or run a machine learning service that operationally improves my product or workflows,Man,unknown,younger
949,India,Data Analyst,0-999,"Python, SQL, C, Java","PyCharm , Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Altair ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Woman,unknown,younger
951,Russia,Data Analyst,"40,000-49,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
965,Indonesia,Data Analyst,"15,000-19,999","Python, R, SQL, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,PyCharm , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,unknown,middle
972,India,Data Analyst,0-999,unknown,unknown,unknown,None of these activities are an important part of my role at work,Man,unknown,younger
978,India,Data Analyst,"10,000-14,999","Python, SQL, Other",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Advanced statistical software (SPSS, SAS, etc.)",younger
979,India,Data Analyst,"200,000-249,999","Python, SQL, C",PyCharm , Matplotlib ,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
980,Egypt,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,unknown,middle
994,China,Data Analyst,"80,000-89,999","Python, C, C++, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,MATLAB ,Jupyter Notebook","Altair ,Bokeh ,Leaflet / Folium ","Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
1008,South Korea,Data Analyst,"1,000-1,999","Python, R","RStudio , Sublime Text,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1048,Nigeria,Data Analyst,0-999,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,PyCharm ",Seaborn ,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1058,Taiwan,Data Analyst,"4,000-4,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
1061,Turkey,Data Analyst,"3,000-3,999"," R, Other","RStudio ,Jupyter Notebook, Other", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1065,United States of America,Data Analyst,unknown,"Python, SQL, MATLAB, Other","Visual Studio ,MATLAB ,Jupyter Notebook", None,unknown,Man,unknown,older
1070,India,Data Analyst,0-999,"Python, R, C, C++","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,D3 js ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1089,United States of America,Data Analyst,unknown,"Python, R, SQL","RStudio ,Jupyter Notebook",unknown,unknown,Man,unknown,middle
1097,Portugal,Data Analyst,"15,000-19,999"," SQL, Other", Spyder, None,Analyze and understand data to influence product or business decisions,Woman,"Advanced statistical software (SPSS, SAS, etc.)",middle
1098,India,Data Analyst,"15,000-19,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,Other,middle
1099,Australia,Data Analyst,"80,000-89,999","Python, SQL"," Sublime Text,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
1103,Turkey,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook",Seaborn ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Woman,unknown,younger
1113,Germany,Data Analyst,"50,000-59,999","Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
1127,India,Data Analyst,0-999,Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",None of these activities are an important part of my role at work,Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
1132,India,Data Analyst,"5,000-7,499",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1136,China,Data Analyst,"10,000-14,999",Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
1142,India,Data Analyst,0-999,"Python, SQL, Java","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,unknown,younger
1143,India,Data Analyst,"3,000-3,999", R,RStudio , Other,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1159,Turkey,Data Analyst,0-999,Python,Jupyter Notebook, None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
1182,Philippines,Data Analyst,"5,000-7,499","Python, R, SQL, Other","Visual Studio , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
1198,Taiwan,Data Analyst,"4,000-4,999",Python," Spyder,Jupyter Notebook", Matplotlib ,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",older
1202,Australia,Data Analyst,"70,000-79,999","Python, SQL","Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
1230,Nigeria,Data Analyst,"5,000-7,499","Python, R, SQL, C", None, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
